Primera Linea de Log
2023/11/05 23:46:34 [crit] 18#18: *3321 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 3.139.106.164, server: 0.0.0.0:443
2023/11/05 23:47:28 [crit] 18#18: *3323 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:30 [crit] 18#18: *3331 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:31 [crit] 18#18: *3336 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:33 [crit] 18#18: *3326 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:33 [crit] 18#18: *3325 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:33 [crit] 18#18: *3333 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:33 [crit] 18#18: *3338 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:38 [crit] 18#18: *3340 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:47:47 [crit] 18#18: *3342 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:48:04 [crit] 18#18: *3344 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
2023/11/05 23:48:37 [crit] 18#18: *3346 SSL_read() failed (SSL: error:0A000126:SSL routines::unexpected eof while reading) while keepalive, client: 190.101.98.80, server: 0.0.0.0:443
